MESOZONE,orig_total,adj_total,abs_diff
250039352005,4330.0,6291.0,1961.0
250039353001,277.0,1726.0,1449.0
250039353002,526.0,1122.0,596.0
250039353003,147.0,838.0,691.0
250039353004,1714.0,1798.0,84.0
250056001001,579.0,2326.0,1747.0
250056001002,415.0,2401.0,1986.0
250056002021,3475.0,3389.0,-86.0
250056002022,133.0,2902.0,2769.0
250056002023,887.0,946.0,59.0
250056002031,101.0,1454.0,1353.0
250056002032,75.0,76.0,1.0
250056002033,1078.0,1639.0,561.0
250056002041,142.0,318.0,176.0
250056002042,179.0,632.0,453.0
250056101001,1462.0,2157.0,695.0
250056101002,583.0,1277.0,694.0
250056101003,512.0,1001.0,489.0
250056102021,37.0,1581.0,1544.0
250056102022,738.0,1557.0,819.0
250056102023,145.0,1755.0,1610.0
250056102024,7169.0,9507.0,2338.0
250056102031,28.0,279.0,251.0
250056102032,106.0,532.0,426.0
250056102033,807.0,1006.0,199.0
250056102034,142.0,593.0,451.0
250056102041,113.0,717.0,604.0
250056102042,76.0,343.0,267.0
250056102043,950.0,1673.0,723.0
250056111011,538.0,1168.0,630.0
250056111012,1393.0,2431.0,1038.0
250056111021,1523.0,1962.0,439.0
250056111022,611.0,2273.0,1662.0
250056112011,420.0,596.0,176.0
250056112012,242.0,1425.0,1183.0
250056112021,303.0,1185.0,882.0
250056112022,58.0,279.0,221.0
250056112023,1385.0,1767.0,382.0
250056121001,829.0,1196.0,367.0
250056121002,156.0,1327.0,1171.0
250056121003,470.0,2351.0,1881.0
250056122001,232.0,1396.0,1164.0
250056122002,241.0,816.0,575.0
250056122003,1372.0,6348.0,4976.0
250056122004,6068.0,4702.0,-1366.0
250056131001,416.0,868.0,452.0
250056131002,174.0,1283.0,1109.0
250056131003,5921.0,8766.0,2845.0
250056131004,262.0,3502.0,3240.0
250056133001,370.0,520.0,150.0
250056133002,197.0,534.0,337.0
250056133003,368.0,454.0,86.0
250056133004,37.0,420.0,383.0
250056134001,598.0,1766.0,1168.0
250056134002,407.0,806.0,399.0
250056136001,102.0,383.0,281.0
250056136002,1093.0,1430.0,337.0
250056137001,1170.0,2633.0,1463.0
250056137002,199.0,999.0,800.0
250056138001,1278.0,2339.0,1061.0
250056138002,1346.0,3534.0,2188.0
250056138003,1179.0,2479.0,1300.0
250056138004,961.0,2785.0,1824.0
250056139011,136.0,220.0,84.0
250056139012,23.0,292.0,269.0
250056139021,394.0,613.0,219.0
250056139022,316.0,457.0,141.0
250056139023,374.0,365.0,-9.0
250056140001,714.0,735.0,21.0
250056140002,57.0,561.0,504.0
250056141011,856.0,1669.0,813.0
250056141012,303.0,731.0,428.0
250056141013,2281.0,2801.0,520.0
250056141021,88.0,765.0,677.0
250056141022,1560.0,4753.0,3193.0
250056141023,243.0,1518.0,1275.0
250056151001,211.0,198.0,-13.0
250056151002,317.0,747.0,430.0
250056151003,682.0,1006.0,324.0
250056151004,384.0,734.0,350.0
250056151005,158.0,846.0,688.0
250056161001,324.0,498.0,174.0
250056161002,356.0,576.0,220.0
250056161003,36.0,229.0,193.0
250056171011,677.0,838.0,161.0
250056171012,66.0,732.0,666.0
250056171013,2009.0,2420.0,411.0
250056171014,180.0,849.0,669.0
250056171021,651.0,1656.0,1005.0
250056171022,611.0,1937.0,1326.0
250056301011,109.0,569.0,460.0
250056301012,123.0,544.0,421.0
250056301021,151.0,800.0,649.0
250056301022,540.0,1505.0,965.0
250056301023,116.0,590.0,474.0
250056301024,950.0,1107.0,157.0
250056302001,353.0,953.0,600.0
250056302002,87.0,809.0,722.0
250056302003,679.0,1266.0,587.0
250056302004,63.0,213.0,150.0
250056302005,3417.0,3991.0,574.0
250056303001,126.0,803.0,677.0
250056303002,1778.0,1921.0,143.0
250056303003,407.0,358.0,-49.0
250056303004,145.0,471.0,326.0
250056304001,2141.0,5014.0,2873.0
250056304002,187.0,828.0,641.0
250056304003,943.0,972.0,29.0
250056311001,665.0,1570.0,905.0
250056311002,393.0,938.0,545.0
250056311003,1007.0,2270.0,1263.0
250056311004,221.0,535.0,314.0
250056311005,1585.0,1928.0,343.0
250056311006,61.0,530.0,469.0
250056311007,122.0,657.0,535.0
250056312001,1205.0,891.0,-314.0
250056312002,21.0,473.0,452.0
250056312003,119.0,382.0,263.0
250056312004,63.0,875.0,812.0
250056312005,1329.0,1882.0,553.0
250056313001,97.0,848.0,751.0
250056313002,410.0,798.0,388.0
250056313003,585.0,717.0,132.0
250056314001,1688.0,2674.0,986.0
250056314002,1064.0,2058.0,994.0
250056315001,458.0,836.0,378.0
250056315002,10.0,560.0,550.0
250056316001,2290.0,2955.0,665.0
250056316002,337.0,984.0,647.0
250056316003,186.0,1666.0,1480.0
250056317001,3206.0,4349.0,1143.0
250056317002,276.0,542.0,266.0
250056317003,133.0,1064.0,931.0
250056317004,40.0,1092.0,1052.0
250056318001,415.0,795.0,380.0
250056318002,34.0,211.0,177.0
250056318003,96.0,326.0,230.0
250056318004,252.0,1129.0,877.0
250056321001,103.0,741.0,638.0
250056321002,136.0,157.0,21.0
250056321003,432.0,311.0,-121.0
250056321004,381.0,468.0,87.0
250056321005,510.0,441.0,-69.0
250056321006,113.0,1586.0,1473.0
250056322001,809.0,936.0,127.0
250056322002,465.0,2564.0,2099.0
250056322003,75.0,1691.0,1616.0
250056322004,4958.0,6779.0,1821.0
250056322005,184.0,692.0,508.0
250056331001,634.0,955.0,321.0
250056331002,299.0,937.0,638.0
250056332001,272.0,863.0,591.0
250056332002,269.0,512.0,243.0
250056332003,200.0,524.0,324.0
250056401001,188.0,366.0,178.0
250056401002,165.0,274.0,109.0
250056401003,340.0,608.0,268.0
250056401004,1127.0,2392.0,1265.0
250056401005,73.0,1062.0,989.0
250056402001,138.0,443.0,305.0
250056402002,130.0,235.0,105.0
250056402003,96.0,370.0,274.0
250056402004,528.0,1279.0,751.0
250056402005,97.0,360.0,263.0
250056403001,726.0,1130.0,404.0
250056403002,240.0,569.0,329.0
250056403003,94.0,393.0,299.0
250056404001,213.0,220.0,7.0
250056404002,92.0,284.0,192.0
250056404003,161.0,389.0,228.0
250056405001,33.0,320.0,287.0
250056405002,1789.0,1536.0,-253.0
250056405003,251.0,550.0,299.0
250056405004,329.0,2615.0,2286.0
250056405005,246.0,756.0,510.0
250056406001,19.0,115.0,96.0
250056406002,90.0,373.0,283.0
250056406003,198.0,302.0,104.0
250056406004,45.0,143.0,98.0
250056407001,161.0,534.0,373.0
250056407002,27.0,200.0,173.0
250056407003,32.0,237.0,205.0
250056408001,400.0,817.0,417.0
250056408002,1289.0,1668.0,379.0
250056408003,685.0,2115.0,1430.0
250056409011,19.0,311.0,292.0
250056409012,208.0,428.0,220.0
250056409013,41.0,309.0,268.0
250056409014,46.0,363.0,317.0
250056409015,10.0,132.0,122.0
250056410001,428.0,1062.0,634.0
250056410002,67.0,354.0,287.0
250056410003,224.0,620.0,396.0
250056411011,2961.0,5740.0,2779.0
250056411012,182.0,723.0,541.0
250056412001,90.0,631.0,541.0
250056412002,2965.0,6312.0,3347.0
250056413001,23.0,229.0,206.0
250056413002,105.0,308.0,203.0
250056413003,30.0,136.0,106.0
250056413004,239.0,689.0,450.0
250056413005,370.0,434.0,64.0
250056414001,54.0,233.0,179.0
250056414002,134.0,277.0,143.0
250056414003,196.0,840.0,644.0
250056415001,61.0,270.0,209.0
250056415002,127.0,325.0,198.0
250056416001,45.0,563.0,518.0
250056416002,729.0,404.0,-325.0
250056417001,248.0,948.0,700.0
250056417002,178.0,603.0,425.0
250056417003,118.0,318.0,200.0
250056417004,598.0,1880.0,1282.0
250056418001,24.0,1299.0,1275.0
250056418002,2314.0,1495.0,-819.0
250056418003,157.0,911.0,754.0
250056419001,25.0,611.0,586.0
250056419002,127.0,895.0,768.0
250056420001,92.0,988.0,896.0
250056420002,404.0,1125.0,721.0
250056420003,665.0,1714.0,1049.0
250056421001,505.0,1636.0,1131.0
250056421002,196.0,385.0,189.0
250056421003,13.0,149.0,136.0
250056422001,482.0,968.0,486.0
250056422002,182.0,533.0,351.0
250056422003,652.0,613.0,-39.0
250056422004,54.0,557.0,503.0
250056423001,121.0,369.0,248.0
250056423002,164.0,565.0,401.0
250056424001,824.0,1797.0,973.0
250056424002,26.0,382.0,356.0
250056424003,154.0,433.0,279.0
250056425001,1789.0,2415.0,626.0
250056425002,6744.0,9992.0,3248.0
250056441011,34.0,477.0,443.0
250056441012,253.0,512.0,259.0
250056441013,437.0,938.0,501.0
250056441021,557.0,678.0,121.0
250056441022,162.0,563.0,401.0
250056442001,422.0,976.0,554.0
250056442002,118.0,319.0,201.0
250056442003,901.0,2484.0,1583.0
250056442004,1655.0,1795.0,140.0
250056442005,243.0,417.0,174.0
250056442006,42.0,416.0,374.0
250056451011,52.0,248.0,196.0
250056451012,88.0,415.0,327.0
250056451013,352.0,359.0,7.0
250056451021,246.0,1459.0,1213.0
250056451022,184.0,441.0,257.0
250056451023,704.0,962.0,258.0
250056451031,1384.0,3382.0,1998.0
250056451032,297.0,1597.0,1300.0
250056451033,2102.0,2680.0,578.0
250056461011,402.0,662.0,260.0
250056461012,801.0,1214.0,413.0
250056461013,475.0,627.0,152.0
250056461014,152.0,521.0,369.0
250056461031,267.0,919.0,652.0
250056461032,503.0,856.0,353.0
250056461033,619.0,827.0,208.0
250056461041,114.0,603.0,489.0
250056461042,284.0,1040.0,756.0
250056501011,841.0,1817.0,976.0
250056501012,127.0,1027.0,900.0
250056501013,1318.0,2220.0,902.0
250056501021,450.0,833.0,383.0
250056501022,34.0,782.0,748.0
250056501023,2214.0,4006.0,1792.0
250056502011,114.0,408.0,294.0
250056502012,1834.0,3604.0,1770.0
250056502013,768.0,2388.0,1620.0
250056502021,807.0,2363.0,1556.0
250056503001,91.0,457.0,366.0
250056503002,195.0,520.0,325.0
250056503003,435.0,831.0,396.0
250056503004,14.0,249.0,235.0
250056504001,1429.0,1550.0,121.0
250056504002,87.0,320.0,233.0
250056504003,175.0,378.0,203.0
250056504004,84.0,241.0,157.0
250056505001,28.0,161.0,133.0
250056505002,253.0,486.0,233.0
250056505003,103.0,232.0,129.0
