MESOZONE,1_constr,2_eduhlth,3_finance,4_public,5_info,6_ret_leis,7_manu,8_other,9_profbus,10_ttu,total_jobs,total_households,rank11,rank21,rank22,rank23,rank3133,rank42,rank4445,rank4849,rank51,rank52,rank53,rank54,rank55,rank56,rank61,rank62,rank71,rank72,rank81,rank92,COUNTY,lehd_total,diff
250277241002,10,99,3,28,5,43,3,12,10,28,241,637,,,,,4.0,4.0,3.0,,6.0,,2.0,5.0,,,,51.0,,10.0,1.0,16.0,25027.0,102.0,139.0
250277241003,11,389,45,12,1,107,118,31,62,72,848,666,,,,14.0,153.0,4.0,42.0,19.0,,16.0,,46.0,,28.0,47.0,239.0,,142.0,21.0,44.0,25027.0,815.0,33.0
250277251001,19,143,9,5,3,54,5,18,15,46,317,493,9.0,,,4.0,,,,5.0,,,,,,1.0,,6.0,,,1.0,,25027.0,26.0,291.0
250277251002,2,168,4,29,0,6,0,1,9,7,226,412,,,,,,1.0,10.0,,,,,4.0,,,90.0,16.0,,1.0,2.0,,25027.0,124.0,102.0
250277251003,12,37,6,8,2,17,1,9,7,21,120,362,,,5.0,28.0,3.0,,13.0,5.0,,4.0,1.0,2.0,,,2.0,8.0,,10.0,7.0,28.0,25027.0,116.0,4.0
250277251004,85,40,8,20,0,57,142,4,13,5,374,305,,,,,224.0,,88.0,,7.0,60.0,,6.0,,,,21.0,,8.0,7.0,15.0,25027.0,436.0,-62.0
250277251005,27,206,6,12,1,61,12,31,24,52,432,855,,,,7.0,15.0,8.0,5.0,1.0,,,,1.0,,3.0,35.0,5.0,,,19.0,,25027.0,99.0,333.0
250277261001,33,134,31,11,4,86,77,9,63,61,509,883,,,,40.0,129.0,,9.0,,,3.0,11.0,28.0,,13.0,,60.0,17.0,79.0,11.0,,25027.0,400.0,109.0
250277261002,28,128,8,38,3,289,629,14,79,36,1252,530,,,14.0,141.0,45.0,1.0,206.0,,1.0,9.0,5.0,8.0,,,,39.0,12.0,164.0,36.0,,25027.0,681.0,571.0
250277261003,34,19,0,3,11,15,0,5,4,35,126,492,5.0,,,10.0,2.0,5.0,,,,,,2.0,,,,1.0,,,2.0,,25027.0,27.0,99.0
