"","NAICS","size_group","total_emp","total_est","total_firm","emp_per_est","est_per_firm"
"1753",511130,1,6647,1948,1939,3.41221765913758,1.00464156781846
"1754",511130,2,8451,254,229,33.2716535433071,1.10917030567686
"1755",511140,1,2183,509,493,4.28880157170923,1.03245436105477
"1756",511140,2,2280,77,55,29.6103896103896,1.4
"1757",511191,1,211,67,67,3.14925373134328,1
"1758",511199,1,2085,637,633,3.27315541601256,1.00631911532385
"1759",511199,2,1696,52,44,32.6153846153846,1.18181818181818
"1760",511199,3,376,3,3,125.333333333333,1
"1761",511199,5,275,4,3,68.75,1.33333333333333
"1762",511210,1,23641,5629,5559,4.19985787884171,1.01259219284044
"1763",511210,2,45099,1224,1100,36.8455882352941,1.11272727272727
"1764",511210,3,62739,534,366,117.488764044944,1.45901639344262
"1765",512110,1,26544,13233,13209,2.00589435502154,1.00181694299341
"1766",512110,2,14943,453,415,32.9867549668874,1.09156626506024
"1767",512120,1,1067,317,316,3.36593059936909,1.00316455696203
"1768",512120,2,344,14,13,24.5714285714286,1.07692307692308
"1769",512120,3,572,4,4,143,1
"1770",512120,7,206,4,4,51.5,1
"1771",512131,1,9544,1249,1223,7.64131305044035,1.02125919869174
"1772",512131,2,16192,574,443,28.2090592334495,1.29571106094808
"1773",512132,1,369,169,169,2.18343195266272,1
"1774",512132,2,387,19,16,20.3684210526316,1.1875
"1775",512191,1,4894,2185,2183,2.23981693363844,1.0009161704077
"1776",512191,2,4735,156,131,30.3525641025641,1.19083969465649
"1777",512199,1,588,216,215,2.72222222222222,1.0046511627907
"1778",512210,1,776,345,345,2.24927536231884,1
"1779",512220,1,782,278,276,2.81294964028777,1.00724637681159
"1780",512220,2,618,18,15,34.3333333333333,1.2
"1781",512230,1,1551,623,623,2.48956661316212,1
"1782",512240,1,3691,1649,1644,2.23832625833839,1.00304136253041
"1783",512240,2,1058,41,36,25.8048780487805,1.13888888888889
"1784",512290,1,933,343,343,2.7201166180758,1
"1785",512290,2,353,17,15,20.7647058823529,1.13333333333333
"1786",515111,1,1470,380,377,3.86842105263158,1.0079575596817
"1787",515112,1,15611,2417,2337,6.45883326437733,1.03423192126658
"1788",515120,1,2631,624,590,4.21634615384615,1.05762711864407
"1789",515120,2,6799,203,161,33.4926108374384,1.26086956521739
"1790",515210,1,1500,315,314,4.76190476190476,1.0031847133758
"1791",515210,2,1786,56,46,31.8928571428571,1.21739130434783
"1792",517110,1,12642,2578,2397,4.90380139643134,1.07551105548602
