dms_dest,SCTG_Code,tons_2030,value_density_2030
19,17,3369.53326,0.2429377527497681
19,18,3004.840304,0.2468417709296008
19,19,81166.62753299999,0.09542886590120858
19,20,6180.231017,0.30409004951926055
19,21,155.637854,58.34203939550593
19,22,3013.066064,0.13528527497961956
19,23,1281.9626779999999,0.9185106327253001
19,24,3412.833135,1.5331770209738076
19,25,33711.769075,0.009454077544579288
19,26,10060.724178,0.17730990890306067
19,27,2580.246106,0.343549473416006
19,28,829.900139,0.740278852393348
19,29,540.207975,0.5254998891861972
19,30,358.479526,6.0118566157666695
19,31,8737.304281,0.13259525727166327
19,32,12951.566630000001,0.42948067634656484
19,33,1206.997152,1.1917286860342153
19,34,837.0902570000001,5.1285685463425486
19,35,464.66432,11.580357016652368
19,36,4965.519021,2.1721760280011626
19,37,388.73617600000006,3.206006542339398
19,38,40.253724,36.42162687854669
19,39,502.537117,2.6012270293658726
19,40,1490.580042,2.661994764921185
19,41,7598.428092,0.0678983644713552
19,43,4458.378497,1.5084480141211305
20,1,5255.08749,0.2884727984804683
20,2,5.527416,0.0501221547283577
20,3,73.51269,1.0165659901712207
20,4,78.92053899999999,0.5780013996103094
20,5,192.479094,2.957561245586495
20,6,51.031276000000005,1.7297839466134453
20,7,589.396524,0.947400699295607
20,8,161.523368,1.5700266880269609
20,9,0.9034,61.67801693601948
20,10,32.045373,0.5793148358734973
20,11,232.347043,0.0031805440278402856
20,12,4993.98739,0.006862733788360646
20,13,221.564322,0.096540732762922
20,14,0.8703219999999999,6.508353804683785
20,15,405.01710399999996,0.025412781085906933
20,16,1982.49414,0.15776258460970785
20,17,6661.575296,0.2602315566471081
20,18,3029.474035,0.27906778956763695
20,19,939.9497190000001,0.25414355594908156
20,20,72.249566,1.1074149774131514
20,21,30.723559,83.31259064094755
20,22,32.567701,0.4143391484710573
20,23,124.97555200000001,0.9489840540972365
20,24,137.902376,3.0530784110637805
20,25,1227.7133,0.010724760414341037
20,26,364.693544,0.4909032266828393
20,27,53.286312,0.5264050081003917
20,28,236.666917,1.1309863579285144
20,29,15.092373,7.283641578431702
20,30,29.725391000000002,11.351800401885377
20,31,2306.197092,0.09173569433154069
20,32,71.61664400000001,1.1952724844241513
20,33,233.807468,1.5268091971296658
20,34,60.830384,10.712256353666943
20,35,105.841279,8.149942410465393
20,36,113.625132,5.3326545706455155
20,37,1.1362860000000001,147.37383062010795
20,38,13.950887999999999,29.55255482661749
20,39,85.615145,3.3756923614390884
