ORIG_CFS_AREA,DEST_CFS_AREA,orig_FAFID,dest_FAFID,Distance
01-99999,48-206,19,484,657.1153846
01-99999,48-238,19,485,1238.380282
01-99999,48-288,19,486,642.4680851
01-99999,48-29700,19,487,1051
01-99999,48-41700,19,488,830.3565891
01-99999,48-99999,19,489,750.5203762
01-99999,49-482,19,491,1572.569892
01-99999,49-99999,19,499,1668.055556
01-99999,50-99999,19,500,1130.153846
01-99999,51-40060,19,511,627.7926829
01-99999,51-47900,19,513,656.6185567
01-99999,51-545,19,512,665.5492958
01-99999,51-99999,19,519,543.6470588
01-99999,53-440,19,532,2077
01-99999,53-500,19,531,2102.733333
01-99999,53-99999,19,539,2032.418605
01-99999,54-99999,19,540,558.17
01-99999,55-376,19,551,724.0363636
01-99999,55-99999,19,559,809.09375
01-99999,56-99999,19,560,1459
02-99999,02-99999,20,20,100.7146056
02-99999,04-99999,20,49,2384.5
02-99999,06-260,20,65,2108
02-99999,06-348,20,61,2208.308824
02-99999,06-41740,20,63,2302.357143
02-99999,06-472,20,62,1915.666667
02-99999,06-488,20,64,1901.263158
02-99999,06-99999,20,69,2045.361111
02-99999,08-216,20,81,2370.115385
02-99999,08-99999,20,89,2360.111111
02-99999,16-99999,20,160,1741.238095
02-99999,17-176,20,171,2290.571429
02-99999,17-99999,20,179,2236
02-99999,19-99999,20,190,2420.5
02-99999,20-312,20,201,2113
02-99999,20-99999,20,209,2138
02-99999,26-266,20,262,2305
02-99999,26-99999,20,269,2239
02-99999,27-378,20,271,2021.666667
02-99999,27-99999,20,279,2411.454545
02-99999,29-99999,20,299,2339
02-99999,30-99999,20,300,1787.052632
02-99999,31-99999,20,319,1884
02-99999,32-332,20,321,2291.375
02-99999,32-99999,20,329,2009.636364
02-99999,38-99999,20,380,2071.25
02-99999,40-416,20,401,2304.333333
02-99999,41-440,20,411,1371.217391
02-99999,41-99999,20,419,1458.628571
02-99999,46-99999,20,460,2416
02-99999,48-206,20,484,2448
02-99999,48-99999,20,489,2452
02-99999,49-482,20,491,2010.130435
02-99999,49-99999,20,499,1889
02-99999,53-440,20,532,1419.2
02-99999,53-500,20,531,1226.5
02-99999,53-99999,20,539,1333.034483
02-99999,55-376,20,551,2239
02-99999,55-99999,20,559,2177
02-99999,56-99999,20,560,2113.125
04-38060,01-142,41,11,1490.902439
04-38060,01-380,41,12,1524
04-38060,01-99999,41,19,1498.168421
04-38060,02-99999,41,20,1940.5
04-38060,04-38060,41,41,16.85005155
04-38060,04-536,41,42,115.5
04-38060,04-99999,41,49,149.671929
04-38060,05-99999,41,50,1175.886076
04-38060,06-260,41,65,557.9135802
04-38060,06-348,41,61,350.7867024
04-38060,06-41740,41,63,330.5539033
04-38060,06-472,41,62,703.642487
04-38060,06-488,41,64,672.964539
04-38060,06-99999,41,69,549.9608295
04-38060,08-216,41,81,709.0051151
04-38060,08-99999,41,89,599.7556391
04-38060,09-25540,41,91,2209.953125
04-38060,09-408,41,92,2188.7375
04-38060,09-99999,41,99,2235.4
04-38060,10-428,41,101,2133.904762
04-38060,10-99999,41,109,2135.5
04-38060,11-47900,41,111,2044.545455
04-38060,12-300,41,121,1851.571429
04-38060,12-370,41,122,2043.434783
04-38060,12-422,41,123,1892.760331
04-38060,12-45300,41,124,1853.373737
04-38060,12-99999,41,129,1799.292308
04-38060,13-122,41,131,1659.392226
04-38060,13-496,41,132,1862.230769
04-38060,13-99999,41,139,1717.962025
04-38060,16-99999,41,160,860.2857143
04-38060,17-176,41,171,1508.712737
04-38060,17-476,41,172,1323.214286
04-38060,17-99999,41,179,1420.345794
04-38060,18-176,41,181,1488.625
04-38060,18-258,41,183,1578.791667
04-38060,18-294,41,182,1579.805556
04-38060,18-99999,41,189,1524.727273
04-38060,19-99999,41,190,1257.243243
04-38060,20-312,41,201,1084.112676
04-38060,20-556,41,202,942.5660377
04-38060,20-99999,41,209,930.9473684
04-38060,21-178,41,211,1624.4375
04-38060,21-350,41,212,1547.238095
04-38060,21-99999,41,219,1550.672414
04-38060,22-12940,41,221,1257.939394
04-38060,22-324,41,222,1117.5
04-38060,22-406,41,223,1343.87234
04-38060,22-99999,41,229,1213.880952
04-38060,23-99999,41,230,2345.625
04-38060,24-12580,41,241,2041.675
04-38060,24-47900,41,242,2013.438596
04-38060,24-99999,41,249,2115.846154
04-38060,25-148,41,251,2287.518135
04-38060,25-99999,41,259,2218.954545
04-38060,26-220,41,261,1752.671141
04-38060,26-266,41,262,1636.027778
04-38060,26-99999,41,269,1714.865854
04-38060,27-378,41,271,1342.616
04-38060,27-99999,41,279,1371.9625
04-38060,28-99999,41,280,1361.165289
04-38060,29-312,41,291,1093.26087
04-38060,29-476,41,292,1324.551181
04-38060,29-99999,41,299,1152.140625
