ORIG_CFS_AREA,Commodity_SCTG,UnitCost
04-38060,5,2818.0769464745413
04-38060,6,1667.3361284842445
04-38060,7,1335.9319877538373
04-38060,8,2331.2972543033025
04-38060,9,22869.894702706566
04-38060,10,315.4030761079218
04-38060,11,16.502706635638436
04-38060,12,12.638783468286718
04-38060,13,84.0643908773559
04-38060,14,3276.09746840919
04-38060,15,1876.1985904872736
04-38060,17,585.9611875272194
04-38060,18,723.0815313469841
04-38060,19,215.29426684402645
04-38060,20,4212.243305961159
04-38060,21,87679.29220534654
04-38060,22,817.2090206657169
04-38060,23,5478.758922265793
04-38060,24,3254.250945151051
04-38060,25,714.4854416268622
04-38060,26,1130.5317568776695
04-38060,27,3114.155933523127
04-38060,28,1656.2214096388766
04-38060,29,9749.020181873331
04-38060,30,13977.272625969912
04-38060,31,116.3270508719377
04-38060,32,1066.473506466623
04-38060,33,4340.475525836536
04-38060,34,12354.539739246447
04-38060,35,19475.189838057762
04-38060,36,10886.576367359263
04-38060,37,72470.44497077135
04-38060,38,75960.37079904073
04-38060,39,5605.687311615764
04-38060,40,7584.204792394094
04-38060,41,61.19434975609084
04-38060,43,2548.1236428089537
04-536,1,1535.9058830160875
04-536,2,255.44184731418878
04-536,3,711.7484111966182
04-536,4,570.2190191670239
04-536,5,8022.175193408449
04-536,6,2895.1324031007293
04-536,7,991.0116180589508
04-536,8,1589.9886197618853
04-536,9,132643.33527417484
04-536,10,286.1532889684634
04-536,11,13.962787760321298
04-536,12,10.738206531851798
04-536,13,268.51861631898606
04-536,14,1879.0292341044092
04-536,17,423.4775709984055
04-536,18,364.98157769627727
04-536,19,214.65929636971003
04-536,20,149.8232460061991
04-536,21,42968.87487435652
04-536,23,3500.614999303362
04-536,24,3819.0678258334065
04-536,25,970.5883864469147
04-536,26,1336.2628395922975
04-536,27,584.5064285051214
04-536,28,3338.736864626142
04-536,29,4378.573184266856
04-536,30,8261.185417084036
04-536,31,116.91495283488806
04-536,32,9995.752865622724
04-536,33,2621.9502904255846
04-536,34,10549.161055326384
04-536,35,11434.33186996614
04-536,36,13287.5978870789
04-536,37,567005.280357697
04-536,38,65292.20930894945
04-536,39,7836.197512055759
04-536,40,10524.145653256444
04-536,41,74.31661985887018
04-536,43,4523.487258877303
04-99999,1,4824.517697743683
04-99999,2,240.31077969839228
04-99999,3,865.3445345888672
04-99999,4,1030.1941835284701
04-99999,5,3569.799014683444
04-99999,6,695.225484087663
04-99999,7,601.2752357480748
04-99999,8,1406.0749702819185
04-99999,9,22869.91614180828
04-99999,10,271.3062273211561
04-99999,11,33.90859630205662
04-99999,12,10.625415701803156
04-99999,13,28.06135570498769
04-99999,14,2042.5315957676862
04-99999,15,21.969139768498767
04-99999,17,614.5813685530657
04-99999,18,612.9853823116459
04-99999,19,206.931499001767
04-99999,20,198.32705360576034
04-99999,21,680719.6481577648
04-99999,22,384.95365535209305
04-99999,23,1731.220807209942
04-99999,24,3965.779796165451
04-99999,25,13.126532054472554
04-99999,26,811.9504945975823
04-99999,27,1691.2312838036082
04-99999,28,1492.5397442676579
04-99999,29,5612.869936296585
04-99999,30,6928.012346044362
04-99999,31,122.06386291003192
04-99999,32,3926.230544992726
04-99999,33,3736.698161297565
04-99999,34,10774.256297947391
04-99999,35,2847.4183491190142
04-99999,36,13684.249921096716
04-99999,37,137320.24392213256
04-99999,38,23084.432749979762
04-99999,39,5269.543289078163
04-99999,40,12896.934378175894
04-99999,41,6.338270934719095
04-99999,43,3657.2206215723804
05-99999,1,1565.409858550884
05-99999,2,173.09000474189486
05-99999,3,364.16449222832495
05-99999,4,305.95009113332105
05-99999,5,2683.329966621615
05-99999,6,690.5069946887013
05-99999,7,1687.3779652990997
05-99999,8,2211.481880238479
05-99999,9,78939.14381264224
05-99999,10,78.07397977256949
05-99999,11,9.11186989630242
05-99999,12,15.835716292934835
05-99999,13,73.50686037305788
05-99999,14,2359.7149435782862
05-99999,16,322.5699240189473
05-99999,17,648.46210258786
05-99999,18,658.8484993846434
05-99999,19,227.79301852629962
05-99999,20,1149.7072057926061
05-99999,21,87169.40346898194
05-99999,22,312.0708582652536
05-99999,23,1503.9839927845926
05-99999,24,727.6124126588115
05-99999,25,30.494345863366416
05-99999,26,367.446709690525
05-99999,27,960.5863537985882
05-99999,28,2159.230074897058
05-99999,29,15249.146964817564
05-99999,30,4112.487865927207
05-99999,31,181.57246004726218
