orig_FAFID,dest_FAFID,Distance,Travel_time,Alternative
12,487,1145.43,46.14289474,Private Truck
12,488,1006.21,42.47921053,Private Truck
12,489,946.19,40.89973684,Private Truck
12,491,2781.81,102.9315625,Private Truck
12,499,2615.4,97.73125,Private Truck
12,500,2148.58,83.143125,Private Truck
12,511,1619.43,66.6071875,Private Truck
12,512,1648,67.5,Private Truck
12,513,1829.14,73.160625,Private Truck
12,519,2833.04,104.5325,Private Truck
12,531,3044.9,111.153125,Private Truck
12,532,3198.54,115.954375,Private Truck
12,539,2937.31,107.7909375,Private Truck
12,540,1517.75,63.4296875,Private Truck
12,551,1313.87,57.0584375,Private Truck
12,560,2130.13,82.5665625,Private Truck
19,11,128.38,10.419,Private Truck
19,12,288.94,20.44523077,Private Truck
19,19,0,4,Private Truck
19,41,1822.14,72.941875,Private Truck
19,42,1705.36,69.2925,Private Truck
19,49,1733.45,70.1703125,Private Truck
19,50,480.21,23.38784615,Private Truck
19,61,2099.84,81.62,Private Truck
19,62,2772.35,102.6359375,Private Truck
19,63,2214.01,85.1878125,Private Truck
19,64,2699.16,100.34875,Private Truck
19,65,2501.37,94.1678125,Private Truck
19,69,2718.54,100.954375,Private Truck
19,81,2570.29,96.3215625,Private Truck
19,89,3221.31,116.6659375,Private Truck
19,91,1798.02,72.188125,Private Truck
19,92,1718.95,69.7171875,Private Truck
19,99,1810.46,72.576875,Private Truck
19,101,1611.82,66.369375,Private Truck
19,109,1685.48,68.67125,Private Truck
19,111,1582.83,65.4634375,Private Truck
19,122,1019.22,42.82157895,Private Truck
19,123,760.79,36.02078947,Private Truck
19,124,771.9,36.31315789,Private Truck
19,129,766.62,36.17421053,Private Truck
19,131,307.69,20.73369231,Private Truck
19,132,575.59,24.85523077,Private Truck
19,139,415.49,22.39215385,Private Truck
19,160,2642.93,98.5915625,Private Truck
19,171,1140.71,46.01868421,Private Truck
19,172,807.37,37.24657895,Private Truck
19,179,937.5,40.67105263,Private Truck
19,181,1180.78,47.07315789,Private Truck
19,182,1036.8,43.28421053,Private Truck
19,183,1114.34,45.32473684,Private Truck
19,189,1090.97,44.70973684,Private Truck
19,190,1114.54,45.33,Private Truck
19,201,927.3,40.40263158,Private Truck
19,202,965.9,41.41842105,Private Truck
19,209,1126.57,45.64657895,Private Truck
19,211,1128.5,45.69736842,Private Truck
19,212,755.8,35.88947368,Private Truck
19,221,842.04,38.15894737,Private Truck
19,222,914.79,40.07342105,Private Truck
19,223,535.59,24.23984615,Private Truck
19,229,853.84,38.46947368,Private Truck
19,230,2306.91,88.0909375,Private Truck
19,241,1586.21,65.5690625,Private Truck
19,242,1604.05,66.1265625,Private Truck
19,249,1634.66,67.083125,Private Truck
19,251,1939.23,76.6009375,Private Truck
19,259,1838.09,73.4403125,Private Truck
19,261,1267.94,49.36684211,Private Truck
19,262,1326.63,57.4571875,Private Truck
19,269,1562.36,64.82375,Private Truck
19,271,1372.4,58.8875,Private Truck
19,279,1546.05,64.3140625,Private Truck
19,280,325.91,21.014,Private Truck
19,291,892.34,39.48263158,Private Truck
19,292,775.99,36.42078947,Private Truck
19,299,830.75,37.86184211,Private Truck
19,300,2236.44,85.88875,Private Truck
19,311,1117.55,45.40921053,Private Truck
19,319,1912.99,75.7809375,Private Truck
19,321,2528.54,95.016875,Private Truck
19,329,2756.7,102.146875,Private Truck
19,331,1931.39,76.3559375,Private Truck
19,339,2025.52,79.2975,Private Truck
19,341,1653.57,67.6740625,Private Truck
19,342,1639.15,67.2234375,Private Truck
19,350,1346.5,58.078125,Private Truck
19,361,1765.04,71.1575,Private Truck
19,362,1381.01,59.1565625,Private Truck
19,363,1705.56,69.29875,Private Truck
19,364,1829.11,73.1596875,Private Truck
19,371,753.68,35.83368421,Private Truck
19,372,941.27,40.77026316,Private Truck
19,373,1051.93,43.68236842,Private Truck
19,379,1016.19,42.74184211,Private Truck
19,380,1848.88,73.7775,Private Truck
19,391,927.55,40.40921053,Private Truck
19,392,1187.8,47.25789474,Private Truck
19,393,1032.69,43.17605263,Private Truck
19,394,984.63,41.91131579,Private Truck
19,399,1059.43,43.87973684,Private Truck
19,401,816.03,37.47447368,Private Truck
19,402,783.53,36.61921053,Private Truck
19,409,850.05,38.36973684,Private Truck
19,419,3246.88,117.465,Private Truck
19,421,1559.91,64.7471875,Private Truck
19,422,1267.88,49.36526316,Private Truck
19,423,1561.3,64.790625,Private Truck
19,429,1424.07,60.5021875,Private Truck
19,441,1899,75.34375,Private Truck
19,452,526.54,24.10061538,Private Truck
19,459,736.8,35.38947368,Private Truck
19,460,1500.52,62.89125,Private Truck
19,471,431.61,22.64015385,Private Truck
19,472,514.08,23.90892308,Private Truck
19,473,811.1,37.34473684,Private Truck
19,479,506.64,23.79446154,Private Truck
19,481,868.52,38.85578947,Private Truck
19,482,736.2,35.37368421,Private Truck
19,483,1095.22,44.82157895,Private Truck
19,484,695.25,34.29605263,Private Truck
19,485,1288.51,49.90815789,Private Truck
19,486,810.28,37.32315789,Private Truck
19,487,1096.96,44.86736842,Private Truck
19,488,957.74,41.20368421,Private Truck
19,489,897.72,39.62421053,Private Truck
19,491,2733.34,101.416875,Private Truck
19,499,2566.93,96.2165625,Private Truck
19,500,1994.69,78.3340625,Private Truck
19,511,1518.07,63.4396875,Private Truck
19,512,1546.64,64.3325,Private Truck
19,513,1675.25,68.3515625,Private Truck
19,519,2731.68,101.365,Private Truck
19,531,2996.43,109.6384375,Private Truck
19,532,3150.07,114.4396875,Private Truck
19,539,2888.84,106.27625,Private Truck
19,540,1363.86,58.620625,Private Truck
19,551,1264.89,49.28657895,Private Truck
19,560,2081.66,81.051875,Private Truck
41,11,1811.38,72.605625,Private Truck
41,12,1870.61,74.4565625,Private Truck
41,19,1822.14,72.941875,Private Truck
41,41,0,4,Private Truck
41,42,116.78,9.839,Private Truck
41,49,220.02,15.001,Private Truck
41,50,1521.07,63.5334375,Private Truck
41,61,614.1,25.44769231,Private Truck
41,62,1088.68,44.64947368,Private Truck
41,63,543.67,24.36415385,Private Truck
41,64,1015.49,42.72342105,Private Truck
41,65,817.7,37.51842105,Private Truck
41,69,1034.87,43.23342105,Private Truck
41,81,2374.91,90.2159375,Private Truck
41,89,2597.89,97.1840625,Private Truck
41,91,3112.63,113.2696875,Private Truck
41,92,3033.56,110.79875,Private Truck
41,99,3125.07,113.6584375,Private Truck
41,101,2933.93,107.6853125,Private Truck
41,109,3007.59,109.9871875,Private Truck
41,111,2910.4,106.95,Private Truck
41,122,2702.22,100.444375,Private Truck
41,123,2443.79,92.3684375,Private Truck
41,124,2454.9,92.715625,Private Truck
41,129,2449.62,92.550625,Private Truck
41,131,1990.69,78.2090625,Private Truck
41,132,2258.59,86.5809375,Private Truck
41,139,2098.49,81.5778125,Private Truck
41,160,1688.46,68.764375,Private Truck
41,171,2082.39,81.0746875,Private Truck
41,172,1781.67,71.6771875,Private Truck
41,179,1905.91,75.5596875,Private Truck
41,181,2123.96,82.37375,Private Truck
41,182,2124.17,82.3803125,Private Truck
41,183,2219.86,85.370625,Private Truck
41,189,2096.43,81.5134375,Private Truck
41,190,1753.7,70.803125,Private Truck
41,201,1527.64,63.73875,Private Truck
41,202,1365.84,58.6825,Private Truck
41,209,1267.64,49.35894737,Private Truck
41,211,2478.06,93.439375,Private Truck
41,212,2196.92,84.65375,Private Truck
41,221,1897.77,75.3053125,Private Truck
41,222,1465.16,61.78625,Private Truck
41,223,1986.84,78.08875,Private Truck
41,229,1966.3,77.446875,Private Truck
41,230,3621.52,129.1725,Private Truck
41,241,2913.78,107.055625,Private Truck
41,242,2931.62,107.613125,Private Truck
41,249,2962.23,108.5696875,Private Truck
41,251,3253.84,117.6825,Private Truck
41,259,3152.7,114.521875,Private Truck
41,261,2426.84,91.83875,Private Truck
41,262,2287.53,87.4853125,Private Truck
41,269,2542.89,95.4653125,Private Truck
41,271,2011.56,78.86125,Private Truck
41,279,2185.21,84.2878125,Private Truck
41,280,1683.19,68.5996875,Private Truck
41,291,1545.19,64.2871875,Private Truck
41,292,1701.27,69.1646875,Private Truck
41,299,1631.03,66.9696875,Private Truck
41,300,2040.22,79.756875,Private Truck
41,311,1739.14,70.348125,Private Truck
41,319,2178.91,84.0909375,Private Truck
41,321,969.38,41.51,Private Truck
41,329,1102.27,45.00710526,Private Truck
41,331,3246,117.4375,Private Truck
41,339,3340.13,120.3790625,Private Truck
41,341,2972.14,108.879375,Private Truck
41,342,2961.26,108.539375,Private Truck
41,350,700.03,34.42184211,Private Truck
41,361,3079.65,112.2390625,Private Truck
41,362,2641.65,98.5515625,Private Truck
41,363,3020.17,110.3803125,Private Truck
41,364,3098.51,112.8284375,Private Truck
41,371,2436.68,92.14625,Private Truck
41,372,2624.27,98.0084375,Private Truck
41,373,2734.93,101.4665625,Private Truck
41,379,2699.19,100.3496875,Private Truck
41,380,2470.47,93.2021875,Private Truck
41,391,2256.09,86.5028125,Private Truck
41,392,2454.54,92.704375,Private Truck
41,393,2360.26,89.758125,Private Truck
41,394,2289.59,87.5496875,Private Truck
41,399,2381.89,90.4340625,Private Truck
41,401,1223.11,48.18710526,Private Truck
41,402,1330.08,57.565,Private Truck
41,409,1253.65,48.99078947,Private Truck
41,419,1714,69.5625,Private Truck
41,421,2882.02,106.063125,Private Truck
41,422,2590.42,96.950625,Private Truck
41,423,2875.91,105.8721875,Private Truck
41,429,2724.88,101.1525,Private Truck
41,441,3213.61,116.4253125,Private Truck
41,452,2209.54,85.048125,Private Truck
41,459,2419.8,91.61875,Private Truck
41,460,2122.11,82.3159375,Private Truck
41,471,1696.52,69.01625,Private Truck
41,472,2160.97,83.5303125,Private Truck
41,473,2454.54,92.704375,Private Truck
41,479,2153.53,83.2978125,Private Truck
