Commodity_SCTG,FAF,value_fraction
01,209,0.09437094975308186
01,211,0.00020673922564828698
01,212,0.0005757643337083951
01,219,0.01577996348131096
01,223,0.0019807391850642565
01,229,0.0005331294813815098
01,230,0.006429332386265309
01,241,0.0015202166832142788
01,242,0.0004912525501952336
01,249,0.00025320913839532017
01,251,0.011837303867771737
01,259,0.00024178700870575135
01,261,0.0043646431843966105
01,262,0.0022315774852030876
01,269,0.003339254923198069
01,271,0.004604474008249221
01,279,0.011171570998400103
01,280,0.022667168466205565
01,291,1.0816651097537347e-06
01,292,0.00526131767980439
01,299,0.0055556473494471235
01,300,0.0011749148675110179
01,311,0.028653380284081095
01,319,0.18261332162037913
01,321,7.793932558642228e-06
01,329,5.46363281758257e-07
01,331,0.0005247684931676768
01,339,1.8359837222522404e-05
01,341,0.005439796331697054
01,342,0.009565116169173517
01,350,0.002813912020221061
01,361,0.006461826565224605
01,362,0.0012524114830923352
01,363,0.0466072072089113
01,364,0.000756830156879498
01,369,0.014438267056368252
01,371,0.0019074534473280597
01,372,0.0001499078234999424
01,373,0.001819671341987678
01,379,0.021960665697552104
01,380,0.00032867703500046166
01,391,0.0003251723675107365
01,392,0.0016331472656131174
01,393,0.0011174425760147439
01,394,0.0009443359120900456
01,399,0.003724137008046104
01,401,0.000688864625806767
01,402,0.0017352262092742378
01,409,0.022023347460284007
01,411,0.000419647569128322
01,419,0.00033649661643094366
01,423,0.0007828048781927885
01,421,0.005875562534387965
01,422,0.00019806163606159177
01,429,0.015572586449014972
01,441,0.0019731532541775996
01,451,0.00023169678685040567
01,452,0.0013208824661865958
01,459,0.002528732802202105
01,460,0.018947369996061125
01,473,0.0004117093944066784
01,471,0.0005588553804302402
01,472,0.001160465244119454
01,479,0.005129952318330078
01,481,9.814364511261247e-05
01,482,3.701432417150543e-05
01,483,7.253720573484657e-05
01,484,0.004956411376492077
01,485,7.71118422069861e-05
01,486,0.0023677723096276176
01,488,0.001100544543151779
01,489,0.06834378815270976
01,491,0.0003040233816996742
01,499,0.0006428873507195277
01,500,9.883172193724961e-05
01,511,0.0002424893707229528
01,513,0.0039841027604472015
01,512,0.0012521441041812987
01,519,0.000608518416534381
01,532,0.00021525226351753115
01,531,0.0020076442471731195
01,551,0.0007037996435200049
01,559,0.07041873356875954
01,560,6.261629061168421e-05
02,11,0.00033089256537486786
02,12,9.346242125368225e-06
02,19,0.006452874076332042
02,41,0.011506048793666318
02,42,1.191044620317568e-06
02,49,0.0007442451676071707
02,50,0.011310993083128803
02,65,0.0005464947177034998
02,61,0.012107247931887598
02,63,0.0013524039782487748
02,62,0.00027229351499568884
02,64,0.0059330040913689085
02,69,0.021072807325489065
02,81,0.011542223142896286
02,89,0.017200859127067175
02,91,4.428014325372636e-05
02,92,8.184115860538421e-07
02,101,4.301966581676293e-05
02,109,0.00197323287847455
02,111,4.291510505284075e-08
02,121,0.00041477249680561454
02,122,0.0006374710609032669
02,123,0.0005045537319910431
02,124,0.0018531008423962575
02,129,0.010064919298232881
02,131,0.014138218456610096
02,139,0.012150876513837394
02,159,0.0002537158091803086
02,160,0.015924849655753002
02,171,0.025671979319820844
02,172,0.020424519009660184
02,179,0.03235663041774032
02,181,0.000868492337666885
02,183,0.003797357600580758
02,182,0.008431972966883446
02,189,0.019735503168336676
02,190,0.08823241070071845
02,201,0.006004098819575013
02,202,0.01238696701790633
