SCTG,CFS_CODE,median_weight_ton,lower bound,upper bound
29,M,0.9329000000000003,0.0005,23.398987499999993
29,S,0.15030000000000018,0.0005,6.237624999999981
30,A,8.600500000000002,0.0005,67.97677499999999
30,C,0.4206999999999998,0.0005,14.848374999999928
30,E,0.525,0.0005,20.5753125
30,M,8.667,0.001,22.155
30,S,19.068,0.0005,22.092750000000002
31,A,6.8445,0.0005,22.6961875
31,C,23.7435,0.001,105.958875
31,E,6.259200000000004,0.0005,22.7319875
31,M,19.750300000000003,0.0025,23.4499375
31,S,23.57050000000001,0.0015,28.515900000000002
32,A,20.8211,0.0005,26.543062499999998
32,C,21.1493,0.0015,42.84278750000002
32,E,5.505300000000006,0.0005,23.678324999999997
32,M,20.574,0.006,29.093125
32,S,5.372300000000009,0.0006125000000000003,30.863475
33,A,0.422,0.0005,22.54
33,C,7.395300000000001,0.0005,36.20125
33,E,0.2609000000000001,0.0005,21.2323
33,M,6.1479000000000035,0.0005,19.838649999999987
33,S,2.367000000000004,0.0005,22.964274999999997
34,A,0.5103000000000011,0.0005,17.22802500000004
34,C,1.3150000000000004,0.0005,20.770862499999964
34,E,0.5258000000000002,0.0005,16.697199999999928
34,M,4.572600000000001,0.0005,20.816599999999994
34,S,0.7557,0.0005,16.174074999999995
35,A,0.0425,0.0005,6.600724999999975
35,C,0.1667000000000003,0.0005,8.17029999999998
35,E,0.035,0.0005,10.324699999999986
35,M,0.6305,0.0005,19.2084375
35,S,0.0979000000000001,0.0005,4.8965749999999835
36,A,8.1555,0.0005,23.2815
36,C,6.2472,0.0005,20.043000000000006
36,E,5.953299999999999,0.0005,21.70085
36,M,8.753400000000008,0.0015,21.278424999999995
36,S,1.6485,0.0005,18.6335625
37,A,0.042,0.0005,0.5724000000000006
37,C,0.08,0.0005,18.581949999999996
37,E,0.0345,0.0005,1.1344999999999998
37,M,20.503100000000003,0.0005,86.82056249999998
37,S,0.018,0.0005,1.6032249999999915
38,A,0.067,0.0005,2.2702749999999896
38,C,0.0185,0.0005,0.7025
38,E,0.058,0.0005,3.7434375
38,M,0.37090000000000056,0.0005,14.290112499999985
